; CSV, generated by libsigrok4DSL 0.2.0 on Sun Nov 09 13:07:41 2025
; Channels (16/16)
; Sample rate: 50 kHz
; Sample count: 600.64 K Samples
Time(s), clock, a15, a14, a13, a12, a11, a10, a9, a8, a7, a6, a5, a4, a3, a2, a1
0.96888,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98008,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.98014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.98302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00012,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.00316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00324,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.00326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0232,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.02322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.02326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.04026,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.04028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.04324,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.04326,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.04328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.06026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.06334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.08032,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1.08034,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.08036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0833,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.08334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08336,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.08338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0834,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1
1.08342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.10034,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.10036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.1033,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.10332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.10336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10344,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
